ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason
income_real_disp,rosstat,q,"Real disposable money income, percent of previous period","Реальные располагаемые денежные доходы, к прошлому периоду",1999-01-01,TRUE,,base,logdiff
li_retail_1,rosstat,q,,Розничная торговля: индекс предпринимательской уверенности,2006-01-01,FALSE,,no,diff
invest_real,rosstat,q,,Совокупные инвестиции в постоянных ценах,1995-01-01,TRUE,,no,logdiff
invest_nom,rosstat,q,,Совокупные инвестиции в текущих ценах,1995-01-01,TRUE,,no,logdiff
li_building_1,rosstat,q,,Строительство: индекс предпринимательской уверенности,2006-01-01,FALSE,,no,diff
employed,rosstat,m,"Total number of employed aged 15 years and over, mln person","Численность занятых в возрасте 15 лет и старше, млн человек",1999-01-01,TRUE,,dismean,logdiff
export_real,rosstat,q,,Экспорт в постоянных ценах,1995-01-01,TRUE,,no,logdiff
export_nom,rosstat,q,,Экспорт в текущих ценах,2006-01-01,TRUE,,no,logdiff
ipi_mining,rosstat,m,Mining and quarrying,"Индексы производства по видам деятельности: Добыча полезных ископаемых, отчетный месяц в % к предыдущему месяцу ",,,,,
ipi_manufacturing,rosstat,m,Manufacturing,"Индексы производства по видам деятельности: Обрабатывающие производства, отчетный месяц в % к предыдущему месяцу",,,,,
ipi_electricity,rosstat,m,"Electricity, gas, steam and air conditioning supply","Индексы производства по видам деятельности: Обеспечение электрической энергией, газом и паром; кондиционирование воздуха, отчетный месяц в % к предыдущему месяцу",,,,,
ipi_water,rosstat,m,"Water supply; sewerage, waste management and remediation activities","Индексы производства по видам деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений, отчетный месяц в % к предыдущему месяцу",,,,,
api,rosstat,m,Agricultural production index,Индекс производства продукции сельского хозяйства в хозяйствах всех категорий,,,,,
animal_livestock,rosstat,m,"Production of animal husbandry products at enterprises of all types: Livestock and poultry for slaughter (live weight), thou tons","Производство продуктов животноводства в хозяйствах всех категорий Скот и птица  на убой в живом весе, тыс.тонн",,,,,
animal_milk,rosstat,m,"Production of animal husbandry products at enterprises of all types: Milk, thou tons","Молоко, тыс.тонн ",,,,,
animal_eggs,rosstat,m,"Production of animal husbandry products at enterprises of all types: Eggs, mln pieces","Яйца, млн штук ",,,,,
freight_turnover,rosstat,m,"Freight turnover of transport, including commercial and noncommercial freight turnover, bln ton-km","Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ",,,,,
freight_loading_railway,rosstat,m,"Freight loading on railway transport, mln ton","Погрузка грузов на железнодорожном транспорте,  млн тонн",,,,,
investment_fc,rosstat,q,"Investments in fixed capital, bln rubles","Инвестиции в основной капитал, млрд рублей",,,,,
investment_fc_own_funds,rosstat,q,"Investments in fixed capital, own funds of organizations, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: собственные средства предприятий",,,,,
investment_fc_external_funds,rosstat,q,"Investments in fixed capital, external funds, bln rubles","Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: привлеченные средства",,,,,
