ticker,source,freq,name_eng,name_rus,observation_start,use_archive,name_rus_short,transform,deseason,aggregate
PZINCUSDM,fred,m,Global price of Zinc,Global price of Zinc,1990-01-01,FALSE,Global price of Zinc,no,logdiff,mean
RBRUBIS,fred,m,Russia Real Effective Exchange Rate Broad,Russia Real Effective Exchange Rate Broad,1994-01-01,FALSE,Russia Real Effective Exchange Rate Broad,no,logdiff,mean
STLFSI2,fred,w,St. Louis Fed Financial Stress Index,St. Louis Fed Financial Stress Index,1993-12-31,FALSE,St. Louis Fed Financial Stress Index,no,level,mean
PFOODINDEXM,fred,m,Global price of Food index,Global price of Food index,1992-01-01,FALSE,Global price of Food index,no,logdiff,mean
PNRGINDEXM,fred,m,Global price of Energy index,Global price of Energy index,1992-01-01,FALSE,Global price of Energy index,no,logdiff,mean
cli_CHN,oecd,m,Composite leading indicator China,Composite leading indicator China,1992-05-01,FALSE,CLI China,no,level,mean
cli_EA19,oecd,m,Composite leading indicator Euro area,Composite leading indicator Euro area,1965-12-01,FALSE,CLI Euro area,no,level,mean
cli_G7,oecd,m,Composite leading indicator G7,Composite leading indicator G7,1959-01-01,FALSE,CLI G7,no,level,mean
cli_OECD,oecd,m,Composite leading indicator OECD,Composite leading indicator OECD,1961-06-01,FALSE,CLI OECD,no,level,mean
cli_OECDE,oecd,m,Composite leading indicator OECDE,Composite leading indicator OECDE,1966-11-01,FALSE,CLI OECDE,no,level,mean
cli_RUS,oecd,m,Composite leading indicator Russia,Composite leading indicator Russia,1992-09-01,FALSE,CLI Russia,no,level,mean
cli_USA,oecd,m,Composite leading indicator USA,Composite leading indicator USA,1955-01-01,FALSE,CLI USA,no,level,mean
bci_CHN,oecd,m,Business confidence index China,Business confidence index China,2000-02-01,FALSE,BCI China,no,level,mean
bci_EA19,oecd,m,Business confidence index Euro area,Business confidence index Euro area,1985-01-01,FALSE,BCI Euro area,no,level,mean
bci_G7,oecd,m,Business confidence index G7,Business confidence index G7,1962-12-01,FALSE,BCI G7,no,level,mean
bci_OECD,oecd,m,Business confidence index OECD,Business confidence index OECD,1974-07-01,FALSE,BCI OECD,no,level,mean
bci_OECDE,oecd,m,Business confidence index OECDE,Business confidence index OECDE,1975-12-01,FALSE,BCI OECDE,no,level,mean
bci_RUS,oecd,m,Business confidence index Russia,Business confidence index Russia,1992-09-01,FALSE,BCI Russia,no,level,mean
bci_USA,oecd,m,Business confidence index USA,Business confidence index USA,1950-01-01,FALSE,BCI USA,no,level,mean
cgi_CHN,oecd,m,Consumer confidence index China,Consumer confidence index China,1990-01-01,FALSE,CGI China,no,level,mean
cgi_EA19,oecd,m,Consumer confidence index EA19,Consumer confidence index EA19,1973-01-01,FALSE,CGI EA19,no,level,mean
cgi_G7,oecd,m,Consumer confidence index G7,Consumer confidence index G7,1973-01-01,FALSE,CGI G7,no,level,mean
cgi_OECD,oecd,m,Consumer confidence index OECD,Consumer confidence index OECD,1974-01-01,FALSE,CGI OECD,no,level,mean
cgi_OECDE,oecd,m,Consumer confidence index OECDE,Consumer confidence index OECDE,1974-01-01,FALSE,CGI OECDE,no,level,mean
cgi_RUS,oecd,m,Consumer confidence index Russia,Consumer confidence index Russia,1998-11-01,FALSE,CGI Russia,no,level,mean
cgi_USA,oecd,m,Consumer confidence index USA,Consumer confidence index USA,1960-01-01,FALSE,CGI USA,no,level,mean
igrea,dallasfed,m,Index of Global Real Economic Activity,Index of Global Real Economic Activity,1968-01-01,FALSE,Index of Global Real Economic Activity,no,level,mean
mosprime,cbr,d,MosPrime Rate (1 month),MosPrime Rate (1 мес),2005-04-18,FALSE,MosPrime Rate (1 мес),cummean,diff,mean
monetary_base,cbr,m,Monetary Base (Narrow Definition),Денежная база (в узком определении),2002-01-01,FALSE,M0,no,logdiff,mean
m2,cbr,m,Money Supply,Денежная масса (М2),1992-12-01,FALSE,M2,no,logdiff,mean
import_usd,cbr,q,Imports in USD,Импорт в долларах,1994-01-01,FALSE,Импорт в долларах,no,logdiff,sum
usd,cbr,d,USDRUB: Official exchange rate,Курс доллара к рублю,2001-04-01,FALSE,Курс доллара к рублю,cummean,logdiff,mean
fer,cbr,w,International Reserves of the Russian Federation (End of period),Международные резервы Российской Федерации (к концу периода),1998-05-29,FALSE,Международные резервы,no,logdiff,mean
miacr,cbr,d,Moscow InterBank Actual Credit Rate: Weighted Average Actual Rates on Moscow banks’ credits in rubles (1 day),"Показатели ставок межбанковского кредитного рынка группы MIACR: Средневзвешенные фактические ставки по кредитам в рублях, предоставленным московскими банками (1 день)",2000-08-01,FALSE,MIACR (1 день),cummean,diff,mean
saldo,cbr,d,The Bank of Russia transactions balance for liquidity supply/withdrawal,Сальдо операций Банка России по предоставлению / абсорбированию ликвидности,2003-10-01,FALSE,Сальдо операций ЦБ по предоставлению / абсорбированию ликвидности,no,diff,mean
repo,cbr,d,Repo transactions amount outstanding,Требования Банка России к кредитным организациям по операциям репо в рублях,2006-11-01,FALSE,Требования ЦБ к кредитным организациям по операциям репо в рублях,no,level,mean
export_usd,cbr,q,Exports in USD,Экспорт в долларах,1994-01-01,FALSE,Экспорт в долларах,no,logdiff,sum
monetary_base_weekly,cbr,w,Monetary Base (Narrow Definition),Денежная база (в узком определении),2014-10-01,FALSE,MO (недельная),no,logdiff,mean
depo,cbr,d,Deposit Standing Facility Interest Rates,Ставки по депозитам постоянного действия,1997-11-26,FALSE,Ставки по депозитам постоянного действия,cummean,diff,mean
ostat,cbr,d,Correspondent account balances of credit institutions with the Bank of Russia,Денежные средства кредитных организаций на корреспондентских счетах в Банке России,1997-11-04,FALSE,Денежные средства кредитных организаций на коррсчетах в ЦБ,cummean,logdiff,mean
unemployment,rosstat,m,"Unemployment rate aged 15 years and over, percent","Безработица, в среднем за 3 месяца, 15-72 года",2015-01-01,FALSE,"Безработица, в среднем за 3 месяца, 15-72 года",dismean,diff,mean
gross_profit_nom,rosstat,q,,Валовая прибыль экономики в текущих ценах,2015-01-01,FALSE,Валовая прибыль экономики в текущих ценах,no,logdiff,sum
gdp_real,rosstat,q,"Volume index of produced GDP, percent ",ВВП в постоянных ценах,2015-01-01,FALSE,ВВП в постоянных ценах,no,logdiff,sum
gdp_nom,rosstat,q,"GDP, bln rubles",ВВП в текущих ценах,2015-01-01,FALSE,ВВП в текущих ценах,no,logdiff,sum
base_output,rosstat1,m,,Выпуск товаров и услуг по базовым видам экономической деятельности  (к предыдущему месяцу),2015-01-01,FALSE,Выпуск товаров и услуг по базовым видам экономической деятельности  (к предыдущему месяцу),base,logdiff,sum
li_mining_1,rosstat,m,,Добыча полезных ископаемых: индекс предпринимательской уверенности,2015-01-01,FALSE,Добыча полезных ископаемых: индекс предпринимательской уверенности,no,diff,sum
import_real,rosstat,q,,Импорт в постоянных ценах,2015-01-01,FALSE,Импорт в постоянных ценах,no,logdiff,sum
import_nom,rosstat,q,,Импорт в текущих ценах,2015-01-01,FALSE,Импорт в текущих ценах,no,logdiff,sum
